GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_004332,"Glucose-6-phosphate isomerase","",Q255I6,"","","",Chlamydia felis Fe/C-56,264202,""
GL_000309,"Chitinase-3-like protein 1","",P36222,"1HJV|1HJW|1HJX|1NWR|1NWS|1NWT|1NWU|7CJ2|8DF1|8R41|8R42|8R4X","","",Homo sapiens,9606,""
GL_003400,"ATP-dependent 6-phosphofructokinase, muscle type","",Q5RAG9,"","","",Pongo abelii,9601,""
GL_004133,"D-ribose pyranase","",Q03Q56,"","","",Levilactobacillus brevis ATCC 367,387344,""
GL_005266,"Prolyl 4-hydroxylase subunit alpha-1","",Q1RMU3,"","","",Bos taurus,9913,""
GL_000087,"Bark lectin (Fragment)","",P93538,"","","",Styphnolobium japonicum,3897,""
GL_005251,"1-aminocyclopropane-1-carboxylate oxidase","",Q43792,"","","",Nicotiana tabacum,4097,""
GL_004694,"Fructose import binding protein FrcB","",Q9F9B2,"","","",Sinorhizobium meliloti,382,""
GL_003700,"Glucose-6-phosphate isomerase","",B3GY24,"","","",Actinobacillus pleuropneumoniae serovar 7 str. AP76,537457,""
GL_003320,"Fucose mutarotase","",A2VDF0,"","","",Homo sapiens,9606,""
GL_002114,"Fiber","",A4ZKM1,"5TX1|6FJN|6FJO|6FJP|6QU6|6QU8|7TAU","","",Human adenovirus 26,46928,""
GL_002074,"Sialic acid-binding Ig-like lectin 5","",Q920G3,"","","",Mus musculus,10090,"1943|386"
GL_000677,"Latrophilin-like protein LAT-2","",G5ECX0,"","","",Caenorhabditis elegans,6239,""
GL_001396,"Chitin disaccharide deacetylase","",Q99PX1,"","","",Vibrio alginolyticus,663,""
GL_000562,"Jacalin-related lectin 11","",Q5XF82,"","","",Arabidopsis thaliana,3702,""
GL_001134,"Struthiocalcin-2","",P83515,"","","",Struthio camelus,8801,""
GL_004150,"ATP-dependent 6-phosphofructokinase","",C4LEQ5,"","","",Tolumonas auensis DSM 9187,595494,""
GL_002811,"Probable xyloglucan endotransglucosylase/hydrolase protein 6","",Q8LF99,"","","",Arabidopsis thaliana,3702,""
GL_005237,"Prolyl 4-hydroxylase subunit alpha-1","",Q60715,"","","",Mus musculus,10090,""
GL_003593,"Glucose-6-phosphate isomerase","",Q9KX58,"","","",Mycoplasmoides gallisepticum str. R(low),710127,""
GL_002276,"Lectin SCAman (Fragment)","",Q9ZP49,"1B2P","","",Hyacinthoides hispanica,81759,""
GL_002007,"E-selectin","",Q00690,"","","",Mus musculus,10090,"4832"
GL_003693,"Glucose-6-phosphate isomerase","",A7GUA6,"","","",Bacillus cytotoxicus NVH 391-98,315749,""
GL_004527,"Solute carrier family 2, facilitated glucose transporter member 5","",P46408,"","","",Oryctolagus cuniculus,9986,""
GL_003936,"Glucose-6-phosphate isomerase","",A1VJZ6,"","","",Polaromonas naphthalenivorans CJ2,365044,""
GL_004240,"D-ribose pyranase","",P44734,"","","",Haemophilus influenzae Rd KW20,71421,""
GL_004600,"Lectin","",Q8VXF2,"","","",Lens culinaris subsp. tomentosus,175770,""
GL_004090,"Glucose-6-phosphate isomerase","",B8F632,"","","",Glaesserella parasuis SH0165,557723,""
GL_001681,"Laforin","",Q1M199,"","","",Canis lupus familiaris,9615,""
GL_001462,"Epimerase FSL3","",A0A0E0RXA9,"","","",Fusarium graminearum PH-1,229533,""
GL_002526,"Hexokinase-1","",P05708,"1BG3","","",Rattus norvegicus,10116,""
GL_002358,"CFA/I fimbrial subunit E","",P25734,"2HB0|3F83|3VAC|6K73","","",Escherichia coli,562,""
GL_000838,"Oxidized low-density lipoprotein receptor 1","",P79391,"","","",Bos taurus,9913,""
GL_004982,"Phytanoyl-CoA dioxygenase 1","",Q10E49,"","","",Oryza sativa Japonica Group,39947,""
GL_004017,"ATP-dependent 6-phosphofructokinase","",Q98PW8,"","","",Mycoplasmopsis pulmonis UAB CTIP,272635,""
GL_000083,"B-cell receptor CD22 (Fragment)","",Q9N1E3,"","","",Pongo pygmaeus,9600,""
GL_002636,"Glucokinase","",C4ZVS5,"","","",Escherichia coli BW2952,595496,""
GL_000568,"Jacalin-related lectin 16","",O80735,"","","",Arabidopsis thaliana,3702,""
GL_005091,"Prolyl 3-hydroxylase OGFOD1","",Q3MI03,"","","",Bos taurus,9913,""
GL_003624,"D-ribose pyranase","",Q82CM8,"","","",Streptomyces avermitilis MA-4680 = NBRC 14893,227882,""
GL_003113,"Snaclec rhodocetin subunit gamma (Fragment)","",D2YW39,"3GPR|5THP|6ND8|6ND9|6NDA|6NDB|6NDC|6NDD|6NDE|6NDF|6NDG|6NDH","","",Calloselasma rhodostoma,8717,""
GL_004518,"Glucose-6-phosphate isomerase","",B2K4Y6,"","","",Yersinia pseudotuberculosis PB1/+,502801,""
GL_004375,"ATP-dependent 6-phosphofructokinase isozyme 1","",B6I4Q8,"","","",Escherichia coli SE11,409438,""
GL_004382,"ATP-dependent 6-phosphofructokinase isozyme 1","",B7NU91,"","","",Escherichia coli IAI39,585057,""
GL_004045,"ATP-dependent 6-phosphofructokinase","",B0S230,"","","",Finegoldia magna ATCC 29328,334413,""
GL_000314,"Chitinase-3-like protein 1","",Q5RBP6,"","","",Pongo abelii,9601,""
GL_005236,"Prolyl 3-hydroxylase 2","",Q4KLM6,"","","",Rattus norvegicus,10116,""
GL_001648,"Hematopoietic progenitor cell antigen CD34","",P28906,"","","",Homo sapiens,9606,""
GL_002764,"Wall-associated receptor kinase-like 2","",Q7X8C5,"","","",Arabidopsis thaliana,3702,""
GL_002997,"Cellulosomal-scaffolding protein A","",Q06851,"1ANU|1AOH|1NBC|1OHZ|2B59|2CCL|3KCP|4B9F|5G5D","","",Acetivibrio thermocellus ATCC 27405,203119,""
GL_002393,"Botulinum neurotoxin type G","",Q60393,"1ZB7|2VXR|3MPP","","",Clostridium botulinum,1491,""
GL_002196,"Putative Fml fimbrial adhesin FmlD","",Q1RBS0,"6AOW|6AOX|6AOY|6ARM|6ARN|6ARO|6AS8","","",Escherichia coli UTI89,364106,""
GL_001692,"Lysosomal alpha-glucosidase","",P70699,"","","",Mus musculus,10090,""
GL_001233,"Alpha-mannosidase 2","",O18497,"","","",Spodoptera frugiperda,7108,""
GL_004557,"Mannose-binding protein","",Q98TA4,"","","",Gallus gallus,9031,""
GL_002110,"Chitinase-related agglutinin (Fragment)","",A1YZD2,"4URI","","",Robinia pseudoacacia,35938,""
GL_003648,"D-ribose pyranase","",Q67RD6,"","","",Symbiobacterium thermophilum IAM 14863,292459,""
GL_001897,"Zona pellucida sperm-binding protein 3","",P48831,"","","",Canis lupus familiaris,9615,""
GL_004953,"Deacetoxycephalosporin C hydroxylase","",P42220,"","","",Streptomyces clavuligerus,1901,""
GL_001406,"Chondroitin sulfate ABC exolyase","",Q8A2I1,"","","",Bacteroides thetaiotaomicron VPI-5482,226186,""
GL_000292,"Calreticulin-1","",O04151,"","","",Arabidopsis thaliana,3702,""
GL_000298,"CD302 antigen","",Q9DCG2,"","","",Mus musculus,10090,""
GL_000160,"C-type lectin domain family 2 member D6","",A4KWA8,"","","",Rattus norvegicus,10116,""
GL_002474,"Glucokinase-1","",P17709,"6P4X|6PDT","","",Saccharomyces cerevisiae S288C,559292,""
GL_000217,"C-type lectin lectoxin-Enh1","",A7X3W1,"","","",Pseudoferania polylepis,338839,""
GL_000745,"Lectin-like protein BA14k","",Q2YKY9,"","","",Brucella abortus 2308,359391,""
GL_001902,"Fucose-binding lectin","",A0A069Q9V4,"7PRG","","",Pseudomonas aeruginosa,287,""
GL_004034,"D-ribose pyranase","",B5Y646,"","","",Coprothermobacter proteolyticus DSM 5265,309798,""
GL_003705,"Glucose-6-phosphate isomerase","",A4ISB8,"","","",Geobacillus thermodenitrificans NG80-2,420246,""
GL_000484,"Galectin-10 (Fragment)","",P97400,"","","",Mus musculus,10090,""
GL_002136,"Botulinum neurotoxin sub-type A5","",C1IPK2,"7QPU","","",Clostridium botulinum,1491,""
GL_001733,"O-GlcNAcase NagJ","",Q8XL08,"","","",Clostridium perfringens str. 13,195102,""
GL_003084,"Endoglucanase","",P10475,"2L8A|3PZT|3PZU|3PZV|6UFV|6UFW","","",Bacillus subtilis subsp. subtilis str. 168,224308,""
GL_000832,"Non-seed lectin","",P16270,"","","",Pisum sativum,3888,""
GL_000408,"Fucose-specific lectin","",D4AL26,"","","",Trichophyton benhamiae CBS 112371,663331,""
GL_004352,"ATP-dependent 6-phosphofructokinase","",B9LHK4,"","","",Chloroflexus aurantiacus Y-400-fl,480224,""
GL_001251,"Alpha-xylosidase BoGH31A","",A7LXT0,"5JOU|5JOV","","",Bacteroides ovatus ATCC 8483,411476,""
GL_002350,"Hemagglutinin-esterase","",P15776,"3CL4|3CL5","","",Bovine coronavirus Mebus,11132,""
GL_004396,"ATP-dependent 6-phosphofructokinase","",Q5XBV2,"","","",Streptococcus pyogenes MGAS10394,286636,""
GL_001261,"ATP-dependent 6-phosphofructokinase, muscle type","",P47858,"","","",Rattus norvegicus,10116,""
GL_001709,"Maltose epimerase","",Q03PA4,"","","",Levilactobacillus brevis ATCC 367,387344,""
GL_003626,"D-ribose pyranase","",B7IXT0,"","","",Bacillus cereus G9842,405531,""
GL_000777,"Mitogenic lectin alpha chain","",P16350,"","","",Vicia sativa,3908,""
GL_003940,"ATP-dependent 6-phosphofructokinase","",O42938,"","","",Schizosaccharomyces pombe 972h-,284812,""
GL_000541,"Hemolymph 65 kDa lectin BG01 (Fragment)","",P80742,"","","",Biomphalaria glabrata,6526,""
GL_002081,"Capsid protein","",A0A0A7CJV4,"5F4M|5O02","","",Norovirus 13-BH-1/2013/GII.17,1508693,""
GL_001201,"Aldose 1-epimerase","",P05149,"","","",Acinetobacter calcoaceticus,471,""
GL_000473,"Galectin-1","",C0HJQ1,"","","",Bubalus bubalis,89462,""
GL_002061,"Pulmonary surfactant-associated protein D","",P50404,"","","",Mus musculus,10090,""
GL_005050,"PKHD-type hydroxylase sync_1544","",Q0I9X3,"","","",Synechococcus sp. CC9311,64471,""
GL_003854,"Glucose-6-phosphate isomerase","",Q5YPP1,"","","",Nocardia farcinica IFM 10152,247156,""
GL_004895,"2-oxoglutarate-dependent dioxygenase 11","",Q94LP4,"","","",Oryza sativa Japonica Group,39947,""
GL_001975,"Mannose-binding lectin","Conarva",Q9FVA0,"","LfDB0159","",Convolvulus arvensis,4123,""
GL_005217,"2-oxoglutarate-dependent dioxygenase 19","",Q6Z244,"","","",Oryza sativa Japonica Group,39947,""
GL_000027,"Agglutinin","",A7EWX9,"","","",Sclerotinia sclerotiorum 1980 UF-70,665079,""
GL_001425,"D-galactose/methyl-galactoside binding periplasmic protein MglB","",P23905,"1GCA|1GCG|3GA5|3GBP","","",Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,""
GL_005242,"1-aminocyclopropane-1-carboxylate oxidase","",Q9MB94,"","","",Prunus mume,102107,""
GL_000855,"Phospholipase A2 inhibitor alpha-like protein","",Q8AXS4,"","","",Elaphe quadrivirgata,86195,""
GL_003386,"ATP-dependent 6-phosphofructokinase","",P65694,"","","",Staphylococcus aureus subsp. aureus Mu50,158878,""
GL_004920,"2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3","",Q6PK18,"","","",Homo sapiens,9606,""
GL_000637,"L-rhamnose-binding lectin ELEL-1","",C0HK24,"","","",Echinometra lucunter,105361,""
GL_005142,"Flavonol synthase/flavanone 3-hydroxylase","",Q07512,"","","",Petunia x hybrida,4102,""
GL_004096,"ATP-dependent 6-phosphofructokinase","",B4TCK0,"","","",Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,""
GL_000462,"Galactose-specific lectin nattectin","",Q66S03,"","","",Thalassophryne nattereri,289382,""
GL_000329,"Complement component C1q receptor","",Q9ET61,"","","",Rattus norvegicus,10116,""
GL_004403,"Glucose-6-phosphate isomerase","",A0L900,"","","",Magnetococcus marinus MC-1,156889,""
GL_001055,"Putative polypeptide N-acetylgalactosaminyltransferase 10","",Q8IA43,"","","",Drosophila melanogaster,7227,""
GL_003514,"Glucose-6-phosphate isomerase","",Q4A5S9,"","","",Mycoplasmopsis synoviae 53,262723,""
GL_003794,"Glucose-6-phosphate isomerase","",Q48N88,"","","",Pseudomonas savastanoi pv. phaseolicola 1448A,264730,""
GL_000618,"Killer cell lectin-like receptor subfamily B member 1B allele B","",Q5NKN4,"","","",Rattus norvegicus,10116,""
GL_003540,"Glucose-6-phosphate isomerase","",B1W0Z7,"","","",Streptomyces griseus subsp. griseus NBRC 13350,455632,""
GL_001351,"Beta-galactosidase 5","",Q10RB4,"","","",Oryza sativa Japonica Group,39947,""
GL_000592,"Jacalin-related lectin 44","",Q9FFW6,"","","",Arabidopsis thaliana,3702,""
GL_000538,"Halilectin 3, beta chain","",C0HK21,"","","",Haliclona caerulea,1131259,""
GL_004039,"D-ribose pyranase","",C3P0E9,"","","",Bacillus anthracis str. A0248,592021,""
GL_001867,"Transketolase","",P50137,"","","",Rattus norvegicus,10116,""
GL_000380,"F17e-G fimbrial adhesin","",Q9RH92,"2BSB","","",Escherichia coli,562,""
GL_000345,"Cytolethal distending toxin subunit A","",Q46668,"","","",Escherichia coli,562,""
GL_000430,"G-type lectin S-receptor-like serine/threonine-protein kinase At1g67520","",O64793,"","","",Arabidopsis thaliana,3702,""
GL_003162,"Protein phosphatase 1 regulatory subunit 3C","",Q7TMB3,"","","",Mus musculus,10090,""
GL_000789,"Myxobacterial hemagglutinin","",P07386,"4FBR|4FBV","","",Myxococcus xanthus,34,""
GL_004185,"Glucose-6-phosphate isomerase","",A0L003,"","","",Shewanella sp. ANA-3,94122,""
GL_001226,"Alpha-mannosidase","",C0HJB3,"6B9O|6B9P","","",Canavalia ensiformis,3823,""
GL_003133,"Glutamate--tRNA ligase","",Q9CDZ7,"","","",Lactococcus lactis subsp. lactis Il1403,272623,""
GL_002076,"VIP36-like protein","",P59481,"","","",Mus musculus,10090,""
GL_002446,"PLASMODESMATA CALLOSE-BINDING PROTEIN 1","",Q9FNQ2,"","","",Arabidopsis thaliana,3702,""
GL_004905,"Leucoanthocyanidin dioxygenase","",P41213,"","","",Zea mays,4577,""
GL_002628,"Glucokinase","",B1X9R0,"","","",Escherichia coli str. K-12 substr. DH10B,316385,""
